Id,LotArea,SalePrice,Neighborhood
220,3010,167240,Blmngtn
230,3182,192500,Blmngtn
386,3182,192000,Blmngtn
444,3922,172500,Blmngtn
466,3072,178740,Blmngtn
560,3196,234000,Blmngtn
598,3922,194201,Blmngtn
640,3982,264561,Blmngtn
791,3182,160200,Blmngtn
852,3196,215000,Blmngtn
983,3182,159895,Blmngtn
1005,3182,181000,Blmngtn
1020,3013,213490,Blmngtn
1024,3182,191000,Blmngtn
1127,3684,174000,Blmngtn
1395,4045,246578,Blmngtn
1416,3635,175900,Blmngtn
600,1950,151000,Blueste
957,1300,124000,Blueste
226,1680,112000,BrDale
228,1869,106000,BrDale
233,1680,94500,BrDale
236,1680,89500,BrDale
364,1680,118000,BrDale
431,1680,85400,BrDale
433,1920,122500,BrDale
501,1890,113000,BrDale
656,1680,88000,BrDale
838,1680,100000,BrDale
1030,1680,118000,BrDale
1105,2016,106000,BrDale
1220,1680,91500,BrDale
1292,1680,119500,BrDale
1335,2368,125000,BrDale
1379,1953,83000,BrDale
10,7420,118000,BrkSide
16,6120,132000,BrkSide
30,6324,68500,BrkSide
52,6240,114500,BrkSide
78,8635,127000,BrkSide
147,6120,105000,BrkSide
150,6240,115000,BrkSide
185,7438,127000,BrkSide
251,5350,76500,BrkSide
276,7264,205000,BrkSide
290,8730,153575,BrkSide
329,11888,214500,BrkSide
346,6435,140200,BrkSide
362,9144,145000,BrkSide
394,7446,100000,BrkSide
438,6000,119000,BrkSide
443,6240,162900,BrkSide
460,7015,110000,BrkSide
498,9120,184000,BrkSide
523,5000,159000,BrkSide
532,6155,128000,BrkSide
534,5000,39300,BrkSide
547,8737,210000,BrkSide
556,6380,113000,BrkSide
585,6120,133000,BrkSide
587,10267,130000,BrkSide
590,9100,79500,BrkSide
637,6120,60000,BrkSide
695,6120,141500,BrkSide
697,6000,89000,BrkSide
711,4130,52000,BrkSide
714,9873,129000,BrkSide
762,6911,100000,BrkSide
808,21384,223500,BrkSide
827,6130,109500,BrkSide
913,6120,88000,BrkSide
936,5825,79900,BrkSide
961,7207,116500,BrkSide
975,11414,167500,BrkSide
977,5900,85500,BrkSide
996,4712,121600,BrkSide
1099,6000,128000,BrkSide
1136,6180,102000,BrkSide
1140,8731,144000,BrkSide
1146,6240,149000,BrkSide
1203,6000,117000,BrkSide
1219,6240,80500,BrkSide
1256,6240,127500,BrkSide
1264,13515,180500,BrkSide
1286,6000,132500,BrkSide
1322,6627,72500,BrkSide
1324,5330,82500,BrkSide
1353,6000,134900,BrkSide
1390,6000,131000,BrkSide
1398,6120,137500,BrkSide
1401,6000,120000,BrkSide
1415,13053,207000,BrkSide
1444,8854,121000,BrkSide
70,15593,225000,ClearCr
121,21453,180000,ClearCr
154,13500,235000,ClearCr
167,10708,190000,ClearCr
177,10029,211000,ClearCr
250,159000,277000,ClearCr
272,39104,241500,ClearCr
280,10005,192000,ClearCr
352,5271,190000,ClearCr
359,6930,130000,ClearCr
372,17120,134432,ClearCr
385,53107,240000,ClearCr
452,70761,280000,ClearCr
458,53227,256000,ClearCr
589,25095,143000,ClearCr
683,2887,173000,ClearCr
707,115149,302000,ClearCr
790,12205,187500,ClearCr
801,12798,200000,ClearCr
819,8816,155000,ClearCr
829,28698,185000,ClearCr
849,45600,240000,ClearCr
940,24090,244400,ClearCr
1066,14000,328000,ClearCr
1174,18030,200500,ClearCr
1263,11250,161500,ClearCr
1271,23595,260000,ClearCr
1288,36500,190000,ClearCr
1,8450,208500,CollgCr
3,11250,223500,CollgCr
14,10652,279500,CollgCr
23,9742,230000,CollgCr
33,11049,179900,CollgCr
37,10859,145000,CollgCr
44,9200,130250,CollgCr
58,11645,196500,CollgCr
60,7200,124900,CollgCr
65,9375,219500,CollgCr
68,10665,226000,CollgCr
90,8070,123600,CollgCr
95,9337,204750,CollgCr
97,10264,214000,CollgCr
104,10402,198900,CollgCr
113,9965,383970,CollgCr
120,8461,163990,CollgCr
139,9066,230000,CollgCr
140,15426,231500,CollgCr
142,11645,260000,CollgCr
144,10335,204000,CollgCr
151,10356,122000,CollgCr
193,9017,192000,CollgCr
195,7180,127000,CollgCr
204,4438,149000,CollgCr
214,13568,156000,CollgCr
215,10900,161750,CollgCr
217,8450,210000,CollgCr
221,8990,204900,CollgCr
234,10650,128200,CollgCr
237,8773,185500,CollgCr
249,11317,180000,CollgCr
258,8814,220000,CollgCr
259,12435,231500,CollgCr
262,9588,276000,CollgCr
291,15611,233230,CollgCr
302,16226,267000,CollgCr
303,13704,205000,CollgCr
304,9800,149900,CollgCr
306,10386,305900,CollgCr
338,9135,214000,CollgCr
356,11249,177500,CollgCr
375,8200,219500,CollgCr
377,8846,148000,CollgCr
383,9245,213500,CollgCr
389,9382,191000,CollgCr
397,7200,123000,CollgCr
402,8767,164990,CollgCr
429,6762,195400,CollgCr
436,10667,212000,CollgCr
445,8750,210000,CollgCr
465,8430,124000,CollgCr
477,13125,208900,CollgCr
479,10637,297000,CollgCr
519,9531,211000,CollgCr
537,8924,188000,CollgCr
540,11423,272000,CollgCr
591,8320,185900,CollgCr
594,4435,140000,CollgCr
595,7990,110000,CollgCr
605,12803,221000,CollgCr
607,12464,152000,CollgCr
611,11050,313000,CollgCr
613,11885,261500,CollgCr
653,8750,191000,CollgCr
671,8633,173500,CollgCr
